Plan file, plan diff, Entropy, Cosine, Hamming Similarity, Hamming Dist, Euclidean, Jaccard
agent_0.plans , s1-s2, 1.319554, 0.000000, 0.000000, 0.029178, 0.024949, 0.000000 
agent_0.plans , s1-s3, 1.226349, 0.169048, 14.814815, 0.025641, 0.024182, 0.000000 
agent_0.plans , s2-s3, 0.252380, 0.106799, 100.000000, 0.005305, 0.010467, 0.000000 

agent_1.plans , s1-s2, 0.474360, 0.047368, 0.000000, 0.018568, 0.010821, 0.000000 
agent_1.plans , s1-s3, 0.177383, 0.798028, 100.000000, 0.007073, 0.006451, 0.000000 
agent_1.plans , s2-s3, 0.158552, 0.068528, 30.769231, 0.015031, 0.008965, 0.000000 

agent_10.plans , s1-s2, 0.930339, 0.070473, 0.000000, 0.026525, 0.019268, 0.000000 
agent_10.plans , s1-s3, 0.930339, 0.070473, 0.000000, 0.026525, 0.019268, 0.000000 
agent_10.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_100.plans , s1-s2, 0.208705, 0.679859, 42.857143, 0.016799, 0.006609, 0.000000 
agent_100.plans , s1-s3, 0.439365, 0.040930, 0.000000, 0.019452, 0.012330, 0.000000 
agent_100.plans , s2-s3, 0.280368, 0.071294, 100.000000, 0.013263, 0.010615, 0.000000 

agent_101.plans , s1-s2, 0.440175, 0.708432, 0.000000, 0.019452, 0.012330, 0.000000 
agent_101.plans , s1-s3, 0.440175, 0.708432, 0.000000, 0.019452, 0.012330, 0.000000 
agent_101.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_102.plans , s1-s2, 0.025571, 0.712197, 0.000000, 0.007958, 0.001508, 0.000000 
agent_102.plans , s1-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 
agent_102.plans , s2-s3, 0.022730, 0.712197, 0.000000, 0.007958, 0.001508, 0.000000 

agent_103.plans , s1-s2, 0.101340, 0.347155, 0.000000, 0.011494, 0.003292, 0.000000 
agent_103.plans , s1-s3, 0.070770, 0.568517, 57.142857, 0.007958, 0.002734, 0.000000 
agent_103.plans , s2-s3, 0.044327, 0.614954, 100.000000, 0.005305, 0.002316, 0.000000 

agent_104.plans , s1-s2, 0.253951, 0.226270, 0.000000, 0.013263, 0.007025, 0.000000 
agent_104.plans , s1-s3, 0.187620, 0.408637, 100.000000, 0.007073, 0.006455, 0.000000 
agent_104.plans , s2-s3, 0.087733, 0.501334, 57.142857, 0.009726, 0.003418, 0.000000 

agent_105.plans , s1-s2, 0.948055, 0.023203, 0.000000, 0.014147, 0.019201, 0.000000 
agent_105.plans , s1-s3, 0.948055, 0.023203, 0.000000, 0.014147, 0.019201, 0.000000 
agent_105.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_106.plans , s1-s2, 0.021877, 0.970423, 0.000000, 0.004421, 0.001562, 0.000000 
agent_106.plans , s1-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 
agent_106.plans , s2-s3, 0.023709, 0.970423, 0.000000, 0.004421, 0.001562, 0.000000 

agent_107.plans , s1-s2, 0.547272, 0.036415, 0.000000, 0.032714, 0.011342, 0.000000 
agent_107.plans , s1-s3, 0.547272, 0.036415, 0.000000, 0.032714, 0.011342, 0.000000 
agent_107.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_108.plans , s1-s2, 1.271276, 0.020724, 0.000000, 0.047745, 0.024310, 0.000000 
agent_108.plans , s1-s3, 1.255011, 0.043853, 5.882353, 0.045093, 0.024243, 0.000000 
agent_108.plans , s2-s3, 0.022577, 0.880903, 100.000000, 0.002653, 0.001804, 0.000000 

agent_109.plans , s1-s2, 0.464412, 0.113702, 0.000000, 0.032714, 0.009952, 0.000000 
agent_109.plans , s1-s3, 0.479060, 0.063729, 0.000000, 0.032714, 0.010007, 0.000000 
agent_109.plans , s2-s3, 0.150377, 0.402199, 100.000000, 0.021220, 0.004117, 0.000000 

agent_11.plans , s1-s2, 1.175825, 0.000000, 0.000000, 0.015031, 0.023157, 0.000000 
