zip_code,LAT,LNG,pop2010
31,0,0,1002576
10026,40.802381,-73.952681,34003
10027,40.811407,-73.95306,59707
10030,40.818267,-73.942856,26999
10037,40.812957,-73.937376,17416
10039,40.830867,-73.936218,24527
10001,40.750633,-73.997177,21102
10011,40.742039,-74.00062,50984
10018,40.755319,-73.993114,5229
10019,40.765823,-73.987169,42870
10020,40.758236,-73.978833,0
10036,40.75926,-73.98986,24711
10029,40.791763,-73.94397,76003
10035,40.795455,-73.929655,33969
10010,40.739065,-73.982255,31834
10016,40.745224,-73.978297,54183
10017,40.75236,-73.972493,16575
10022,40.758628,-73.967948,31924
10012,40.725581,-73.998078,24090
10013,40.720103,-74.004903,27700
10014,40.734012,-74.006746,31959
10004,40.68863,-74.018244,3089
10005,40.706027,-74.008835,7135
10006,40.709614,-74.012954,3011
10007,40.713848,-74.007755,6988
10038,40.709278,-74.002562,20300
10280,40.708538,-74.01665,7853
10002,40.715775,-73.986212,81410
10003,40.731829,-73.989181,56024
10009,40.726399,-73.978631,61347
10021,40.769258,-73.958751,43631
10029,40.791763,-73.94397,76003
